BOSTITCH Pancake Air Compressor Oil-Free 6 Gallon 150 PSI (BTFP02012),$131.80 
DEWALT Finish Nails 20-Degree 1-1/4-Inch 16GA 2500-Pack (DCA16125),$15.99 
B&C Eagle A312X131/22 Round Head 3-1/2-Inch x .131 x 22 Degree Bright Smooth Shank Plastic Collated Framing Nails (500 per box),$29.99 
DEWALT Brad Nails Heavy Duty 18GA 2-Inch 5000-Pack (DBN18200),$29.43 
DeWalt DWBN18PP 18 GA Brad Nail Project pack,$10.23 
Critter Spray Products 22032 118SG Siphon Gun,$38.20 
Makita MAC210Q Quiet Series 1 HP 2 Gallon Oil-Free Electric Air Compressor,$209.00 
CRAFTSMAN Brad Nails 18GA Project Pack (CMBN18PP),$6.48 
CRAFTSMAN CMRH21PP 21° Round Head Nail Project Pack,$18.98 
"Freeman PWC50 Pneumatic 16 Gauge 1"" Wide Crown Stapler for Senco P Type Staples",$136.72 
"HamWoo 18 Gauge by 1/2 to 1 in Multi-Pack Narrow Crown Staples 1200-Pack Including 1/2""- 400; 3/4""- 400; 1""- 400",$12.99 
Makita MAC2400 2.5 HP* Big Bore™ Air Compressor,$339.00 
GREX GBN18-50 18 Gauge 2-Inch Length Galvanized Brad Nails (5000 per box),$16.50 
"SITLDY Straight Finish Nails 16 Gauge 1200-Pack (1-1/2"" 1-3/4"" 2"" 2-1/2"" 300 Per Size) Galvanized Assorted Size Project Pack",$14.99 
BOSTITCH Pin Nails Headless 23GA 1-Inch 3000-Pack (PT-2325-3M),$10.66 
BOSTITCH Framing Nails Paper Tape Collated Galvanized Metal Connector 1-1/2-Inch x .131-Inch 1000-Pack (PT-MC13115G-1M),$48.88 
Makita DMP181ZX 18V LXT® Lithium-Ion Cordless High-Pressure Inflator Tool Only,$154.00 
"HamWoo 18 Gauge by 1/2 to 1 in Multi-Pack Narrow Crown Staples 1200-Pack Including 1/2""- 400; 3/4""- 400; 1""- 400",$12.99 
Siding Nails 1-1/2-Inch x .092-Inch 15-Degree Collated Wire Coil Full RoundHead Ring Shank Hot-Dipped Galvanized 1600 Count for Rough Nailing of Lathing and Sheathing Materials by BOOTOP,$29.99 
California Air Tools CAT-1P1060S Light & Quiet Portable Air Compressor Silver,$164.00 
"Freeman SSBN18-2 18 Gauge 2"" Stainless Steel Brad Nails (1 000Count)",$14.68 
Stanley TRA204T 1/4 Inch Light Duty Narrow Crown Staples Pack of 1000(Pack of 2000),$8.85 
DEWALT 15 Gauge DA Nails Project Pack,$18.11 
BOSTITCH Flooring Nails L-Nail 1-1/2-Inch 1000-Pack (FLN-150),$19.24 
YON.SOU. 18Pcs Air Angle Die Grinder Tool Kit 1/4 inch 20000RPM Pneumatic Right Angle Die Grinder Set 90 Degree Die Grinder Pneumatic Angle Grinder Air Angle Grinder Roll Lock,$25.69 
Balloon Stuffing MachineBalloon Expander Stuffer Extractor for Balloon Rose Bouquet Wedding Christmas Birthday Party Gift Art Balloons Filling Decoration Supply (Blue),$399.00 
Arrow Fastener 506SS1 Genuine T50 Stainless Steel 3/8-Inch Staples 1000-Pack,$12.99 
SHALL Heavy Duty T50 Staples and 18GA Brad Nails Combo Kit 8000-Count Four Sizes of T50 Staples for Staple Gun Including 1/4 5/16 3/8 1/2 Inch and Two Sizes of Brad Nails Including 1/2 9/16 Inch,$16.99 
DEWALT Finish Nails 1-1/4-Inch 16GA 2500-Pack (DCS16125) (packaging may vary),$8.99 
Ryobi 18-Volt ONE+ Power Inflator Kit,$90.96 
VIAIR 400P Portable Compressor,$239.95 
2000 Pieces 18Ga Brad Nails Galvanized Finish Nail Galvanized Brad Nails 5/8 Inch-500 3/4 Inch-500 1 Inch-500 1-1/4 Inch-500 with Storage Box for Repairing Molding Cabinetry Building Assembly,$12.99 
"Grip Rite Prime Guard GR04HG1M 21 Degree Plastic Strip Round Head Hot Dipped Galvanized Collated Framing Nails 2"" x 0.113""",$32.73 
"SHALL 3600 Counts 18 Gauge Narrow Crown Staples & Brad Nails Heavy Duty Galvanized 1/4"" Narrow Crown Staples (3/4"" 1"" 1-1/4"" 1-1/2"") Brad Nails (1"" 2"") for Pneumatic Electric Stapler/Brad Nailer",$16.99 
California Air Tools 8010 Steel Tank Air Compressor | Ultra Quiet Oil-Free 1.0 hp 8 gal,$255.00 
Senco DA25EPB 15 Gauge by 2-1/2 inch Length Bright Basic Finish Nail (3000 per box),$43.16 
"5000 Pack F32 1-1/4"" 18 Guage Galvanized brad Nails Heavy Duty Narrow Crown Staples for Nail Gun 18 Gauge Straight Pin Nailers",$14.99 
DEWALT Air Compressor Combo Kit with Brad Nailer (DWC1KIT-B),$229.99 
"SITLDY Straight Finish Nails 16 Gauge 1200-Pack (1-1/2"" 1-3/4"" 2"" 2-1/2"" 300 Per Size) Galvanized Assorted Size Project Pack",$14.99 
BOSTITCH Pin Nails Headless 23GA 1-Inch 3000-Pack (PT-2325-3M),$10.66 
BOSTITCH Flooring Nails L-Nail 2-Inch 1000-Pack (FLN-200),$22.16 
Metabo HPT EC914SM THE TANK High Capacity Pancake Air Compressor with Air Hose,$188.35 
Bostitch Air Compressor Combo Kit 3-Tool (BTFP3KIT) 21.1 x 19.5 x 18 inches,$329.34 
B&C Eagle A3X120HDR/22 Round Head 3-Inch x .120 x 22 Degree Hot Dip Galvanized Ring Shank Plastic Collated Framing Nails (500 per box),$19.99 
SHALL 18 Gauge Brad Nails 2” 1-1/4” 1” 5/8 Inch 4000-Count Galvanized Brad Nails Assorted 18GA Nail Gun Nails and Small Finishing Nails Assortment for Pneumatic Electric Brad Nailer Gun,$16.99 
"Senco A302000 15 Gauge by 2"" Bright Basic Finish Nail",$11.99 
Ryobi 18-Volt ONE+ Dual Function Inflator/Deflator (Tool Only) P747 (Bulk Packaged Non-Retail Packaging),$66.99 
GREX P6/35L 23 Gauge 1-3/8-Inch Length Headless Pins (10000 per box)Galvanized Steel,$34.30 
BOSTITCH Staples Heavy Duty Construction Grade 3/8 x 2/5-Inch 5000-Pack (BTA706-5C),$10.48 
DEWALT Framing Nails Paper Tape 30-Degree Smooth Shank Bright Finish Off-Set Round Head 3-Inch x .120-Inch 2500-Pack (DPT-10D120FH),$44.41 
BOSTITCH Brad Nails 18GA 5/8-Inch 3000-Pack (BT1300B)  Brown,$7.99 
Trek S Battery Operated Piston Compressor with AC and DC Adapters (Battery Not Included),$88.25 
PORTER-CABLE NS18Pp 18 Gauge Narrow Crown Staple Project Pack 900 Count Various Sizes,$12.02 
Power Gear Plastic Outlet Covers 8 Pack Shock Prevention Child Safe Easy Install UL Listed Clear 50271,$5.27 
Ring Video Doorbell Wired with Ring Chime,$64.99 
"ENERLITES Duplex Receptacle Outlet Wall Plate Size 1-Gang 4.50"" x 2.76"" Unbreakable Polycarbonate Thermoplastic UL Listed 8821-BK-10PCS Black (10 Pack)",$10.19 
Amazon Basics 3-Foot Extension Cord - 13 Amps 125V - Black,$7.23 
Amazon Smart Plug for home automation Works with Alexa- A Certified for Humans Device,$19.99 
Power Strip with 6 Feet Yintar Surge Protector with 6 AC Outlets and 3 USB Ports 6 Ft Extension Cord for for Home Office Dorm Essentials 1680 Joules ETL Listed (Black),$15.89 
USB Wall Charger Surge Protector POWRUI 6-Outlet Extender with 2 USB Charging Ports (2.4A Total) and Night Light 3-Sided Power Strip with Adapter Spaced Outlets - White，ETL Listed,$19.97 
European Travel Plug Adapter TESSAN International Power Plug with 2 USB Type C Outlet Adaptor Charger for US to Most of Europe EU Spain Italy France Germany Black,$12.99 
Ring Chime Pro,$59.99 
Kuject 120PCS Solder Seal Wire Connectors Self-Solder Heat Shrink Butt Connector Solder Sleeve Waterproof Insulated Electrical Butt Splice Wire Terminals for Marine Automotive Boat Truck Wire Joint,$9.99 
Outlet Extender with USB C - Surge Protector with 5 Outlet Splitter (3 Side) and 3 USB Charger 1800 Joules Multi Plug Outlet Wall USB Outlet Spaced Adapter Black,$11.89 
Scotch Electrical Tape 3/4-in by 66-ft Black 1-Roll,$1.97 
[2-Pack] European Travel Plug Adapter VINTAR International Power Adaptor with 2 USB Ports2 American Outlets- 4 in 1 European Plug Adapter for France Germany Greece Italy Israel Spain (Type C),$21.96 
Ensenior 12 Pack 4 Inch Ultra-Thin LED Recessed Ceiling Light with Junction Box 2700K Soft White 9W 75W Eqv Dimmable Can-Killer Downlight 750LM High Brightness - ETL and Energy Star Certified,$109.98 
Belkin Power Strip Surge Protector - 12 AC Multiple Outlets & 8 ft Long Flat Plug Heavy Duty Extension Cord for Home Office Travel Computer Desktop Laptop & Phone Charging Brick (3940 Joules),$24.99 
Power Strip Alestor Surge Protector with 12 Outlets and 4 USB Ports 6 Feet Extension Cord (1875W/15A) 2700 Joules ETL Listed Black,$18.68 
BN-LINK BND-60/U47 Indoor Mini 24-Hour Mechanical Outlet Timer 3-Prong 2-Pack,$11.99 
Kasa Smart Plug KP200 In-Wall Smart Home Wi-Fi Outlet Works with Alexa Google Home & IFTTT No Hub Required Remote Control ETL Certified  White 1 Pack,$17.99 
European Plug Adapter 2 Pack TESSAN International Travel Power Outlet Adaptor with 2 USB Type C Charger from USA to Most of Europe EU Spain Iceland Germany France Italy Israel,$21.98 
EPICKA Universal Travel Adapter One International Wall Charger AC Plug Adaptor with 5.6A Smart Power and 3.0A USB Type-C For USA EU UK AUS (Grey),$22.99 
Blink Video Doorbell + Sync Module 2 | Two-way audio HD video motion and chime app alerts and Alexa enabled — wired or wire-free (Black),$49.99 
GE 6-Outlet Extender Wall Tap Grounded Adapter Charging Station 3-Prong Secure Install UL Listed White 54947,$4.79 
"VELCRO Brand ONE-WRAP Cable Ties | 100Pk | 8 x 1/2"" Black Cord Organization Straps | Thin Pre-Cut Design | Wire Management for Organizing Home Office and Data Centers",$11.97 
USB Wall Charger，LVETEK Surge Protector 5 Outlet Extender with 4 USB Ports (1 USB C Outlet) 3 Sided 1680J Power Strip Multi Plug Outlets Wall Adapter Spaced for Home Travel Office ETL Listed,$12.96 
Kasa Smart Plug HS103P4 Smart Home Wi-Fi Outlet Works with Alexa Echo Google Home & IFTTT No Hub Required Remote Control 15 Amp UL Certified 4-Pack White,$29.99 
